round,epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,best_epoch
1,1,0.6112161993980407,0.19569248098735578,0.10965248446974454,0.9080131655092594,0.596743106842041,0.0,0.0,0.9612337239583333,
1,2,0.5420435070991516,0.2757558902535497,0.16013349837410823,0.8944704861111111,0.611310750246048,0.0,0.0,0.9289116753472222,
1,3,0.5043297290802002,0.3061578474715986,0.18131883750198202,0.9067132523148148,0.5404631197452545,0.01485340773552819,0.007506882433504364,0.9248969184027778,
1,4,0.47777114510536195,0.3431088572642491,0.20761217593960027,0.9195759548611111,0.48840034008026123,0.2693818608193539,0.1563427594279002,0.956144748263889,x
1,5,0.4382401704788208,0.41362913715712873,0.26608811754963263,0.9448230613425925,0.5121424794197083,0.02730297120567437,0.014034673900215806,0.9578624131944444,
2,1,0.4252630352973938,0.35809430403922465,0.22103109437721197,0.9469150752314814,0.47145703434944153,0.06139244033850311,0.03259191681893894,0.9627734375,
2,2,0.3864320456981659,0.42642847593551575,0.27187905055548334,0.9494903067129629,0.45455755293369293,0.266154599191478,0.16085824787385716,0.9648773871527778,
2,3,0.28184994459152224,0.6233539078183388,0.4539059208502268,0.9714366319444444,0.3823868930339813,0.46502316073415706,0.3064752640807682,0.9320062934027777,
2,4,0.21117449402809144,0.7371377405155636,0.5860228782217773,0.9815163483796298,0.3713521212339401,0.4287016333842142,0.28221214620658636,0.9562337239583334,
2,5,0.17328111827373505,0.7740740426236481,0.6324651049010497,0.9841592881944445,0.3365950733423233,0.5220164618119227,0.3535148092502264,0.9479470486111111,x
3,1,0.23952658474445343,0.6371910810042016,0.4700988727227388,0.9712157118055555,0.5596234202384949,0.022595093254881612,0.011558716914019862,0.9616720920138888,
3,2,0.1857906997203827,0.7236445254755189,0.5680328344340422,0.9806630497685186,0.3952588587999344,0.3634567322040353,0.22405103658186898,0.9645974392361112,
3,3,0.15140139162540436,0.7788689361694552,0.6384246249084822,0.9841041666666668,0.31477779150009155,0.5340559955274309,0.36848186549063733,0.9534635416666667,
3,4,0.12342101186513901,0.818977492499857,0.6949207011865679,0.9875073784722221,0.3186398148536682,0.5195713831773238,0.35807531646204893,0.9509244791666667,
3,5,0.11600337773561478,0.8306244759189987,0.7109788246326512,0.9881749131944444,0.27854201197624207,0.5766812589418506,0.4067224729805061,0.9680957031249999,x
4,1,0.1944572001695633,0.7116779022243144,0.559629161082327,0.9785769675925925,0.28541192412376404,0.5841949835937539,0.42191845262387884,0.9634440104166666,
4,2,0.14158815741539002,0.7863711401580963,0.6491946792303713,0.9856095196759259,0.28098979592323303,0.5664586400865286,0.3965038826838201,0.971291232638889,
4,3,0.1411139115691185,0.7858853372192862,0.6486827892413817,0.9854464699074074,0.27900195121765137,0.5612512097824927,0.3993096853085474,0.9680707465277778,
4,4,0.11356517821550369,0.8304378155372316,0.71199394598857,0.987570457175926,0.3759377747774124,0.4104211367489629,0.26596601107635587,0.9711078559027777,
4,5,0.10150941461324692,0.8499458634790557,0.7398062783147334,0.9896491608796296,0.21008841693401337,0.6885939191143898,0.5279742483894019,0.9748470052083333,x
5,1,0.12703994512557984,0.809443830380584,0.6805626111148837,0.9863265335648148,0.2620003893971443,0.6078405498679351,0.45447572890407256,0.9694900173611112,
5,2,0.1490377128124237,0.7748995001220561,0.6348205280698871,0.9842575231481481,0.2728733420372009,0.5860887673541036,0.42131299250862386,0.9737738715277777,
5,3,0.13613941222429277,0.7932736695398135,0.6589447046836276,0.9857472511574074,0.22433435171842575,0.6577761912010651,0.4958089751183643,0.9757074652777777,x
5,4,0.10903110057115555,0.8338508790222822,0.7157919413073808,0.9881997974537038,0.4330419898033142,0.3311038917688309,0.1992368082715204,0.9688281249999999,
5,5,0.1015640765428543,0.8506573492216191,0.740544389900337,0.9895811631944443,0.306475892663002,0.5474740206509265,0.3812023132840363,0.9640299479166667,
