Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000000s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000002s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
