Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105563s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.106512s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.107377s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105720s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.108940s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.106545s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105335s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105630s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.107490s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.106016s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.107908s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.107524s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105575s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105228s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.109519s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.106467s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105768s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105455s
Client 1 Round 0: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.105818s
