round,epoch,train_loss,train_dice,train_iou,train_acc,val_loss,val_dice,val_iou,val_acc,best_epoch
1,1,0.716772484779358,0.18318551928192112,0.10318727093822959,0.7873893229166666,1.4353865385055542,0.08089856571153142,0.042215529884145536,0.13004665798611112,
1,2,0.6329604744911194,0.2667317718775552,0.15482058629591805,0.8924895833333334,0.8964289724826813,0.10651709943041218,0.056469764033258554,0.3981076388888889,
1,3,0.5791940212249755,0.3239425093643135,0.19600109861381426,0.9183807870370371,0.7965608835220337,0.13192636324944554,0.07079650969585954,0.4959038628472222,
1,4,0.5448445796966552,0.3486998310852979,0.21186342039289255,0.918993923611111,0.7041659355163574,0.12267253191661859,0.06538026652496319,0.5844661458333333,
1,5,0.5005529701709748,0.4404462772592231,0.2869224637191945,0.932765480324074,0.6619667112827301,0.2026024307790568,0.11336759374548483,0.6969249131944444,
1,6,0.4558252334594727,0.5390875851590543,0.37009370707177924,0.9559620949074074,0.6343840956687927,0.2745212708392525,0.15957869831001947,0.8010329861111112,
1,7,0.406641298532486,0.6040016383055123,0.4331979466567496,0.9631860532407408,0.4697050452232361,0.4847141298514538,0.3357498931500593,0.9358268229166666,x
2,1,0.3835128486156464,0.45428561826873703,0.29957585689288535,0.9538002025462962,0.38077251613140106,0.47565809689148336,0.3283478683056792,0.9675423177083333,
2,2,0.3168570578098297,0.5773947620758173,0.40797428293123267,0.9662307581018519,0.3162432909011841,0.5884872377953428,0.4499347039863336,0.9733257378472222,x
2,3,0.24666077494621277,0.6935639306762876,0.5318914936186541,0.9782672164351853,1.336272120475769,0.20719256304563802,0.11597784610678427,0.7068641493055555,
2,4,0.18952245116233826,0.7651332270453342,0.620871176148427,0.9822100694444444,3.8815608620643616,0.2385248540724525,0.14472787248861008,0.7045247395833334,
2,5,0.16936719417572021,0.7810109317417537,0.6420214346803151,0.9845943287037038,0.49941790103912354,0.38879390840653427,0.25004217491212366,0.9100802951388889,
2,6,0.14425669610500336,0.8104022576858142,0.6831067742959238,0.9859223090277778,0.3376808315515518,0.5125249473916531,0.35296769230127095,0.956838107638889,
2,7,0.13260382711887359,0.8191559681031846,0.694539532750176,0.9873019386574073,0.39454640448093414,0.4604586940964326,0.30283282521990046,0.9366482204861111,
5,1,0.20590318441390992,0.6894071891319096,0.5273545868351545,0.9763313078703704,0.29470331966876984,0.5322338269578918,0.3928333016116441,0.9748556857638888,
5,2,0.17737142145633697,0.7254844192820527,0.5697729478686144,0.9806323784722222,0.302988737821579,0.5464478119674275,0.38648489570521116,0.9639192708333333,
5,3,0.14688792824745178,0.7789369760710022,0.6416021392544105,0.984316695601852,0.24066641926765442,0.6400974324015872,0.5186025683868278,0.9798589409722223,x
5,4,0.12720348685979843,0.8060760810415388,0.6764882506516454,0.9872183159722221,0.23842700198292732,0.6245735923937141,0.4867010738747737,0.9768522135416666,
5,5,0.11778307855129241,0.8244870349045075,0.7025554827015679,0.9875619212962963,0.23050105199217796,0.6379342349373704,0.5094586041002154,0.9800683593749999,
5,6,0.10965736359357833,0.8343583681892687,0.7185811008557871,0.9885808738425925,0.28754182904958725,0.5455407110080411,0.3894327229899713,0.9732877604166668,
5,7,0.09654895961284637,0.8555887344826838,0.748098356917691,0.9895639467592593,0.3550376147031784,0.46875909075819666,0.3097156190983229,0.9712803819444444,
7,1,0.17321806252002717,0.7376125439002449,0.5844544006405552,0.9807094907407408,0.3906816244125366,0.36035035024556894,0.2418425782000096,0.9703255208333333,
7,2,0.1420381784439087,0.7824566164487651,0.6434068147306371,0.9852800925925926,0.27595198154449463,0.5759809020049103,0.41786151246336267,0.9730381944444444,
7,3,0.1207662045955658,0.8191521150921975,0.6953694868860177,0.9870303819444445,0.28218182921409607,0.5748460327257228,0.43262247187253816,0.9764138454861111,
7,4,0.11839820295572281,0.8186118517092732,0.6946908804965355,0.9877355324074074,0.2841933146119118,0.5655476227760106,0.4157972679503341,0.9738140190972222,
7,5,0.10397371351718902,0.8452084486104094,0.7332291099174334,0.9889738136574074,0.271259568631649,0.5900860423535459,0.45272944873065524,0.9781434461805556,x
7,6,0.09821281284093857,0.8521353504410761,0.743875139547179,0.9894470486111111,0.2767487168312073,0.5792680379645748,0.4373846289427585,0.9780935329861111,
7,7,0.0846763238310814,0.8738517819319185,0.7763190259502463,0.9908910590277777,0.27923356741666794,0.5768973301783655,0.4338511693759667,0.9758311631944444,
