step,duration_sec
1,33.2888
2,4.1102
3,4.0326
4,9.4678
5,9.6271
6,9.3525
7,4.1463
8,18.9265
9,9.5787
10,9.4066
11,4.7902
12,4.8510
13,9.4500
14,4.7466
15,4.1484
16,9.7561
17,4.0132
18,4.7324
19,9.6424
20,4.7887
21,4.1001
22,4.1889
23,4.9341
24,9.6432
25,4.8250
26,9.6186
27,4.7711
28,9.6582
29,4.0635
30,9.4782
31,4.8167
32,9.7844
33,4.2321
34,9.7062
35,4.7895
36,4.1859
37,4.8586
38,9.7892
39,4.0071
40,4.7624
41,4.8581
42,4.0373
43,4.0937
44,9.5592
45,4.1687
