Client 1 Round 1: Incoming 184967.64 KB | Outgoing 9248.38 KB | Overhead: 0.620584s
Client 1 Round 2: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.050658s
Client 1 Round 3: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.036400s
Client 1 Round 4: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.044206s
Client 1 Round 9: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.053090s
Client 1 Round 10: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.043061s
Client 1 Round 11: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.026723s
Client 1 Round 17: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.042791s
Client 1 Round 19: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.017735s
Client 1 Round 23: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.033833s
Client 1 Round 26: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.043215s
Client 1 Round 27: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.039207s
Client 1 Round 29: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.025005s
Client 1 Round 33: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.026099s
Client 1 Round 36: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.020844s
Client 1 Round 37: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.039998s
Client 1 Round 38: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.051509s
Client 1 Round 41: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.064544s
Client 1 Round 42: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.044882s
Client 1 Round 43: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.050583s
Client 1 Round 44: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.041760s
