step,duration_sec
1,43.8599
2,36.1869
3,35.9708
4,35.4957
5,22.6836
6,20.3278
7,18.2791
8,15.2455
9,35.8026
10,36.4176
11,35.7718
12,17.9849
13,14.7548
14,14.6947
15,14.6282
16,17.9787
17,35.8716
18,17.7456
19,36.0798
20,17.9326
21,14.7261
22,17.6697
23,35.6793
24,14.6845
25,14.6174
26,35.5677
27,36.4178
28,17.6741
29,36.2920
30,17.6913
31,14.9459
32,17.5734
33,35.4878
34,14.8838
35,18.5509
36,35.3239
37,35.6691
38,35.9745
39,17.7152
40,14.9006
41,36.3124
42,36.7163
43,35.9331
44,35.8756
45,14.7210
