step,duration_sec
1,9.6527
2,11.6586
3,6.6141
4,6.3291
5,6.2041
6,5.8752
7,5.6587
8,6.3642
9,11.6995
10,6.6403
11,6.1910
12,11.4796
13,6.2592
14,6.6293
15,5.6691
16,11.8138
17,5.5996
18,11.4509
19,5.4953
20,11.6207
21,6.2017
22,6.5490
23,11.4584
24,6.5681
25,5.7630
26,6.5864
27,6.2619
28,6.3007
29,5.5039
30,6.2455
31,11.3662
32,11.4323
33,6.3323
34,6.2504
35,5.5595
36,5.4589
37,5.5670
38,5.4834
39,11.5769
40,5.5950
41,11.3280
42,5.8906
43,5.5164
44,11.3002
45,5.5024
