Client 1 Round 0: Incoming 184967.64 KB | Outgoing 9248.38 KB | Overhead: 0.717190s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.026565s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.045791s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.029639s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.024597s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.036777s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.035059s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.018828s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.026892s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.023418s
Client 1 Round 0: Incoming 92483.80 KB | Outgoing 9248.38 KB | Overhead: 1.041139s
