Client 2 Round 0: Incoming 127239.06 KB | Outgoing 63619.41 KB | Overhead: 0.197213s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.222827s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.225311s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.224672s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.225520s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.219065s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.223759s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.225786s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.224633s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.225612s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.226628s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.226424s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.226798s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.224881s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.225291s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.227828s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.235006s
Client 2 Round 0: Incoming 63619.41 KB | Outgoing 63619.41 KB | Overhead: 0.225947s
