Client 0 Round 1: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
Client 0 Round 3: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000000s
Client 0 Round 4: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
Client 0 Round 5: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000000s
Client 0 Round 7: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
Client 0 Round 10: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
Client 0 Round 12: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000000s
Client 0 Round 14: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000000s
Client 0 Round 16: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
Client 0 Round 21: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
Client 0 Round 23: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
Client 0 Round 26: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
Client 0 Round 28: Incoming 8505.40 KB | Outgoing 8505.40 KB | Overhead: 0.000001s
