step,duration_sec
1,24.0228
2,9.2558
3,17.6526
4,18.2863
5,9.3993
6,9.2539
7,4.0432
8,5.0507
9,9.3771
10,9.3433
11,9.2615
12,4.0212
13,4.8647
14,3.9274
15,9.2952
16,4.6339
17,4.6752
18,3.9373
19,4.0272
20,4.6679
21,4.5687
22,9.5222
23,9.3143
24,9.4662
25,9.2007
26,4.5942
27,4.6955
28,4.3513
29,4.5792
30,4.0734
31,3.9526
32,9.2414
33,3.9509
34,3.9237
35,4.6450
36,9.1310
37,9.3232
38,3.9875
39,4.6443
40,4.5560
41,9.2643
42,9.1949
43,9.2113
44,4.7601
45,4.6706
