Client 0 Round 1: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 5: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 8: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 10: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 11: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 15: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 17: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 23: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 25: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 33: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000002s
Client 0 Round 35: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 39: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 43: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
Client 0 Round 44: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000001s
