step,duration_sec
1,30.0360
2,35.0137
3,35.5961
4,34.6609
5,17.5267
6,35.2699
7,19.9510
8,17.1554
9,35.2408
10,17.7267
11,17.0126
12,35.2313
13,14.1904
14,35.0288
15,17.2474
16,34.7971
17,16.8503
18,14.5678
19,34.7483
20,34.5007
21,14.0841
22,34.6608
23,16.8914
24,34.7083
25,16.9079
26,35.2208
27,34.6353
28,34.6340
29,13.9746
30,34.5915
31,14.1856
32,34.8036
33,17.4230
34,14.0077
35,16.7284
36,14.2146
37,34.9318
38,13.9971
39,16.9511
40,35.1772
41,34.6757
42,35.0281
43,16.9135
44,16.9108
45,13.9047
