Client 1 Round 6: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 8: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 12: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000002s
Client 1 Round 13: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000002s
Client 1 Round 17: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 19: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 20: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 21: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 25: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 32: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 33: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 34: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 1 Round 36: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
