step,duration_sec
1,8.2870
2,5.2949
3,5.4358
4,6.4175
5,5.7469
6,10.9772
7,5.9691
8,11.0321
9,5.3344
10,4.9753
11,5.9888
12,10.8386
13,11.3881
14,5.8250
15,5.3488
16,5.8133
17,10.8405
18,5.2469
19,11.1178
20,10.9144
21,10.9386
22,5.1403
23,5.7935
24,5.8298
25,10.9874
26,5.0552
27,5.0224
28,5.0660
29,5.8400
30,5.7210
31,5.7749
32,10.8266
33,10.9140
34,10.9465
35,5.7376
36,11.0974
37,5.7396
38,5.3634
39,5.2116
40,5.0797
41,5.7032
42,5.1511
43,5.0147
44,5.7418
45,5.4438
