Client 0 Round 1: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000000s
Client 0 Round 2: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 3: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 4: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000000s
Client 0 Round 5: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 6: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 7: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 8: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 9: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 10: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 1: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 2: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 3: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 4: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 5: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000000s
Client 0 Round 6: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 7: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
Client 0 Round 8: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000000s
Client 0 Round 9: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000000s
Client 0 Round 10: Incoming 127239.06 KB | Outgoing 127239.06 KB | Overhead: 0.000001s
