Client 2 Round 1: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000009s
Client 2 Round 2: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000008s
Client 2 Round 3: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000008s
Client 2 Round 4: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000009s
Client 2 Round 5: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000007s
Client 2 Round 6: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000009s
Client 2 Round 7: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000008s
Client 2 Round 8: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000012s
Client 2 Round 9: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000008s
Client 2 Round 10: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000008s
Client 2 Round 11: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000007s
Client 2 Round 12: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000006s
Client 2 Round 13: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000009s
Client 2 Round 14: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000007s
Client 2 Round 15: Incoming 184967.64 KB | Outgoing 184967.64 KB | Overhead: 0.000007s
